word,sounds_like,approved,source
right,light|night|white,1,build
light,right|night|late,1,build
rice,lice|nice|race,1,build
glass,grass|class,1,build
grass,glass|class,1,build
play,pray|gray|pay,1,build
read,lead|red|need,1,build
fly,fry|dry|sky,1,build
boat,vote|coat|goat,1,build
vote,boat|note|coat,1,build
berry,very|cherry|bury,1,build
very,berry|every,1,build
best,vest|nest|west,1,build
vest,best|west|rest,1,build
base,vase|case|face,1,build
curve,curb|serve,1,build
think,sink|pink|thank,1,build
three,tree|free|see,1,build
mouth,mouse|south|month,1,build
bath,path|math|bat,1,build
path,bath|pass|pat,1,build
thank,sank|bank|think,1,build
sing,thing|wing|king,1,build
thick,sick|pick|kick,1,build
ship,sheep|shop|chip,1,build
sheep,ship|sleep|keep,1,build
hit,heat|sit|hat,1,build
heat,hit|neat|seat,1,build
full,fool|pull|fall,1,build
fool,full|cool|tool,1,build
live,leave|love|give,1,build
leave,live|leaf|lead,1,build
cap,cat|cup|map,1,build
cat,cap|cut|hat,1,build
sea,see|she|tea,1,build
she,sea|see|shoe,1,build
bag,back|big|bug,1,build
back,bag|pack|sack,1,build
cup,cap|cut|cop,1,build
cut,cup|cat|hut,1,build
