id,category,ja_name,en_name,render,price,default_unlocked,tags,concept,art_prompt
cakeshop,food,ケーキやさん,Cake Shop,image,160,false,food;shop;sweets;pastry;indoor;job;tone:cute-flat,ケーキ屋さんの店内。両側にケーキのショーケース、中央の床は開ける,"Soft flat children's illustration of a cozy cake pastry shop interior, glass display cases full of colorful cakes and cupcakes along the left and right, pastel walls and hanging lights, an open clean floor area in the lower center for a character, bright and cute, no people in the middle, no text or logos, 4:3 landscape"
bakery,food,パンやさん,Bakery,image,150,false,food;shop;bread;indoor;job;tone:cute-flat,パン屋さんの店内。両側の棚にパン、中央は開ける,"Soft flat children's illustration of a warm friendly bakery interior, wooden shelves full of bread and pastries along the sides, baskets and a counter, soft pastel colors, an open clean floor in the lower center for a character, no people in the middle, no text or logos, 4:3 landscape"
flowershop,shop,おはなやさん,Flower Shop,image,150,false,shop;flowers;plants;indoor;job;tone:cute-flat,お花屋さんの店先。両側に色とりどりの花、中央は開ける,"Soft flat children's illustration of a cheerful flower shop storefront, buckets of colorful flowers and potted plants framing the left and right, a striped awning on top, an open clear area in the lower center for a character, bright and cozy, no people in the middle, no text or logos, 4:3 landscape"
police,town,こうばん,Police Box,image,160,false,town;japan;police;job;street;tone:cute-flat,交番とパトカー。やさしい街角、中央の歩道は開ける,"Soft flat children's illustration of a friendly Japanese police box (koban) with a small rounded patrol car parked to one side, a red lamp on top, a calm tidy street, an open sidewalk in the lower center for a character, bright pastel colors, no people in the middle, no text or logos, 4:3 landscape"
firestation,town,しょうぼうしょ,Fire Station,image,170,false,town;fire;rescue;job;vehicle;tone:cute-flat,消防署のガレージ。赤い消防車は脇、中央は開ける,"Soft flat children's illustration of a cute fire station garage with a rounded red fire engine parked to one side, rolled hoses and helmets on the wall, an open clean apron floor in the lower center for a character, bright and friendly, no people in the middle, no text or logos, 4:3 landscape"
dinomuseum,museum,きょうりゅうはくぶつかん,Dinosaur Museum,image,190,false,museum;dinosaur;science;learning;tone:cute-flat,恐竜博物館のホール。骨格は奥/脇、中央の床は開ける,"Soft flat children's illustration of a natural history museum hall with a big friendly dinosaur skeleton standing toward the back-left, glass display cases along the sides, a tall skylight, an open polished floor in the lower center for a character (skeleton not in the middle), bright and cozy, no people in the middle, no text or logos, 4:3 landscape"
trainstation,town,えきのホーム,Train Station,image,170,false,town;train;shinkansen;travel;station;tone:cute-flat,駅のホームと新幹線。電車は脇、中央は開ける,"Soft flat children's illustration of a bright train station platform with a rounded friendly shinkansen bullet train along one side, a platform roof and blank departure board (no text), an open platform area in the lower center for a character, cheerful pastel colors, no people in the middle, no text or logos, 4:3 landscape"
toyshop,shop,おもちゃやさん,Toy Shop,image,160,false,shop;toys;play;indoor;tone:cute-flat,おもちゃ屋さんの店内。棚のおもちゃは両側、中央は開ける,"Soft flat children's illustration of a colorful toy shop interior, shelves of toys, balls and building blocks along the sides, balloons near the ceiling, an open clear floor in the lower center for a character, bright and playful, no people in the middle, no text or logos, 4:3 landscape"
soccerfield,sports,サッカーピッチ,Soccer Pitch,image,240,false,sports;soccer;stadium;outdoor;night;tone:semi-real-cinematic,ナイターのサッカースタジアム。ピッチ中央は開ける,"Photoreal cinematic 3D render of a floodlit professional soccer stadium pitch at dusk seen from the sideline, vivid green grass, a goal and packed stands toward the edges, dramatic stadium floodlights, the center of the pitch kept open, evenly lit and uncluttered for a character, no text or logos, 4:3 landscape"
blockworld,fantasy,ブロックのせかい,Block World,image,200,false,fantasy;voxel;blocks;craft;game;tone:cute-flat,ブロック(ボクセル)の世界。中央の広場は平ら,"Soft flat children's illustration of a playful voxel block-building world, colorful cube blocks forming grassy blocky hills and trees on the sides, bright blue sky with cube clouds, an open flat block plaza in the lower center for a character, cheerful and cute, no people in the middle, no text or logos, 4:3 landscape"
